[2025-04-13 05:58:18] 👍 CPU 사용률 0% → 정상, 재시작 안 함 (ollama_1)
[2025-04-13 05:58:20] 👍 CPU 사용률 0% → 정상, 재시작 안 함 (ollama_deepseek)
[2025-04-13 05:58:27] 👍 CPU 사용률 0% → 정상, 재시작 안 함 (ollama_1)
[2025-04-13 05:58:29] 👍 CPU 사용률 0% → 정상, 재시작 안 함 (ollama_deepseek)
[2025-04-13 05:58:37] 👍 CPU 사용률 0% → 정상, 재시작 안 함 (ollama_1)
[2025-04-13 05:58:39] 👍 CPU 사용률 0% → 정상, 재시작 안 함 (ollama_deepseek)
[2025-04-13 05:58:46] 👍 CPU 사용률 0% → 정상, 재시작 안 함 (ollama_1)
[2025-04-13 05:58:48] 👍 CPU 사용률 0% → 정상, 재시작 안 함 (ollama_deepseek)
[2025-04-13 05:58:56] 👍 CPU 사용률 0% → 정상, 재시작 안 함 (ollama_1)
[2025-04-13 05:58:58] 👍 CPU 사용률 0% → 정상, 재시작 안 함 (ollama_deepseek)
[2025-04-13 05:59:04] 👍 CPU 사용률 0% → 정상, 재시작 안 함 (ollama_1)
[2025-04-13 05:59:06] 👍 CPU 사용률 0% → 정상, 재시작 안 함 (ollama_deepseek)
[2025-04-13 05:59:14] 👍 CPU 사용률 0% → 정상, 재시작 안 함 (ollama_1)
[2025-04-13 05:59:16] 👍 CPU 사용률 0% → 정상, 재시작 안 함 (ollama_deepseek)
[2025-04-13 05:59:23] 👍 CPU 사용률 0% → 정상, 재시작 안 함 (ollama_1)
[2025-04-13 05:59:25] 👍 CPU 사용률 0% → 정상, 재시작 안 함 (ollama_deepseek)
[2025-04-13 05:59:33] 👍 CPU 사용률 0% → 정상, 재시작 안 함 (ollama_1)
[2025-04-13 05:59:35] 👍 CPU 사용률 0% → 정상, 재시작 안 함 (ollama_deepseek)
[2025-04-13 05:59:42] 👍 CPU 사용률 0% → 정상, 재시작 안 함 (ollama_1)
[2025-04-13 05:59:44] 👍 CPU 사용률 0% → 정상, 재시작 안 함 (ollama_deepseek)
[2025-04-13 05:59:51] 👍 CPU 사용률 0% → 정상, 재시작 안 함 (ollama_1)
[2025-04-13 05:59:53] 👍 CPU 사용률 0% → 정상, 재시작 안 함 (ollama_deepseek)
[2025-04-13 06:00:00] 👍 CPU 사용률 0% → 정상, 재시작 안 함 (ollama_1)
[2025-04-13 06:00:02] 👍 CPU 사용률 0% → 정상, 재시작 안 함 (ollama_deepseek)
[2025-04-13 06:00:15] 👍 CPU 사용률 % → 정상, 재시작 안 함 (ollama_1)
[2025-04-13 06:00:46] 👍 CPU 사용률 0% → 정상, 재시작 안 함 (ollama_deepseek)
[2025-04-13 06:01:02] 👍 CPU 사용률 7% → 정상, 재시작 안 함 (ollama_1)
[2025-04-13 06:01:04] 👍 CPU 사용률 0% → 정상, 재시작 안 함 (ollama_deepseek)
[2025-04-13 06:01:11] 👍 CPU 사용률 0% → 정상, 재시작 안 함 (ollama_1)
[2025-04-13 06:01:13] 👍 CPU 사용률 0% → 정상, 재시작 안 함 (ollama_deepseek)
[2025-04-13 06:01:20] 👍 CPU 사용률 0% → 정상, 재시작 안 함 (ollama_1)
[2025-04-13 06:01:22] 👍 CPU 사용률 0% → 정상, 재시작 안 함 (ollama_deepseek)
[2025-04-13 06:01:30] 👍 CPU 사용률 0% → 정상, 재시작 안 함 (ollama_1)
[2025-04-13 06:01:33] 👍 CPU 사용률 0% → 정상, 재시작 안 함 (ollama_deepseek)
[2025-04-13 06:01:42] 👍 CPU 사용률 0% → 정상, 재시작 안 함 (ollama_1)
[2025-04-13 06:01:47] 👍 CPU 사용률 0% → 정상, 재시작 안 함 (ollama_deepseek)
[2025-04-13 06:01:55] 👍 CPU 사용률 0% → 정상, 재시작 안 함 (ollama_1)
[2025-04-13 06:01:57] 👍 CPU 사용률 0% → 정상, 재시작 안 함 (ollama_deepseek)
[2025-04-13 06:02:06] 👍 CPU 사용률 0% → 정상, 재시작 안 함 (ollama_1)
[2025-04-13 06:02:08] 👍 CPU 사용률 0% → 정상, 재시작 안 함 (ollama_deepseek)
[2025-04-13 06:02:17] 👍 CPU 사용률 0% → 정상, 재시작 안 함 (ollama_1)
[2025-04-13 06:02:19] 👍 CPU 사용률 0% → 정상, 재시작 안 함 (ollama_deepseek)
[2025-04-13 06:02:34] 👍 CPU 사용률 0% → 정상, 재시작 안 함 (ollama_1)
[2025-04-13 06:02:36] 👍 CPU 사용률 0% → 정상, 재시작 안 함 (ollama_deepseek)
[2025-04-13 06:02:44] 👍 CPU 사용률 0% → 정상, 재시작 안 함 (ollama_1)
[2025-04-13 06:02:46] 👍 CPU 사용률 0% → 정상, 재시작 안 함 (ollama_deepseek)
[2025-04-13 06:02:53] 👍 CPU 사용률 0% → 정상, 재시작 안 함 (ollama_1)
[2025-04-13 06:02:55] 👍 CPU 사용률 0% → 정상, 재시작 안 함 (ollama_deepseek)
[2025-04-13 06:03:02] 👍 CPU 사용률 0% → 정상, 재시작 안 함 (ollama_1)
[2025-04-13 06:03:04] 👍 CPU 사용률 0% → 정상, 재시작 안 함 (ollama_deepseek)
[2025-04-13 06:03:12] 👍 CPU 사용률 0% → 정상, 재시작 안 함 (ollama_1)
[2025-04-13 06:03:14] 👍 CPU 사용률 0% → 정상, 재시작 안 함 (ollama_deepseek)
[2025-04-13 06:03:21] 👍 CPU 사용률 0% → 정상, 재시작 안 함 (ollama_1)
[2025-04-13 06:03:23] 👍 CPU 사용률 0% → 정상, 재시작 안 함 (ollama_deepseek)
[2025-04-13 06:03:30] 👍 CPU 사용률 0% → 정상, 재시작 안 함 (ollama_1)
[2025-04-13 06:03:33] 👍 CPU 사용률 0% → 정상, 재시작 안 함 (ollama_deepseek)
[2025-04-13 06:03:40] 👍 CPU 사용률 0% → 정상, 재시작 안 함 (ollama_1)
